,perturbation,n,r2,fid
337,F12,401,0.9896263513449965,0.10158227232094319
338,UBE2D3,400,0.9887607029792206,0.24602736889721832
339,MBTPS2,399,0.9708199525327508,1.3521564180256629
340,HPCAL1,399,0.9892861398980053,0.13733950833588437
341,FAR1,399,0.9885421917844491,0.15028973367889797
342,NDUFV1,399,0.9892508394668451,0.15378532551334168
343,SRCAP,399,0.9893895640026587,0.11957012331487782
344,UBE2N,398,0.987778167508173,0.3095706787103083
345,HYAL2,398,0.9893086828938147,0.21690065416155413
346,ZNF420,397,0.9892225025595437,0.11250288785102924
347,PLEC,397,0.9907721407372535,0.18082994682944253
348,RASA1,397,0.9912838424053071,0.16312624760317007
349,FKBP3,396,0.9908793154700353,0.14887386911497202
350,SLC16A5,396,0.9898051310765914,0.14044004030128043
351,ZNF527,396,0.990104519254224,0.1395462128377538
352,MICAL3,395,0.9902519097156465,0.13562106903477655
353,WDR81,395,0.9904786683190712,0.09672168349287702
354,MYCBP,394,0.9905631164766945,0.11637788653144021
355,TMEM240,393,0.9903131962850729,0.1328961759513021
356,S100A1,393,0.9823543784099162,0.6132929741947226
357,SHC1,393,0.9812882225019532,0.9766665507443388
358,MZT1,393,0.9849394774302919,0.6413842493410069
359,GNG7,392,0.9899802155829636,0.15738240341510945
360,PITX2,392,0.9907612588548629,0.15309250705741206
361,ZNF468,392,0.9910551197742201,0.1391493938954742
362,NDUFS5,392,0.9894697661474131,0.2188994049473294
363,E2F3,392,0.9894611976386473,0.17801029899928444
364,SMYD5,392,0.990862977166116,0.18277820768652475
365,MIER1,392,0.9894218709546814,0.19538372645401303
366,KIAA1522,391,0.9900661492443446,0.13061753120874364
367,TRIOBP,391,0.9897490622287588,0.18665038236137832
368,SERF2,391,0.988597075760274,0.09353006749240578
369,MARK3,391,0.9912047049727138,0.09737992959546737
370,SPRY2,391,0.9915258614487584,0.12671218129233708
371,PLXND1,391,0.9903388280220294,0.20043567618958846
372,KRTAP4-7,390,0.9902548967762456,0.15214878818836652
373,MTHFD2,390,0.9886527339432136,0.1392076112493168
374,LONP2,390,0.9907618009913579,0.08051341800198486
375,DOK4,389,0.9885635463724671,0.22840123998134487
376,MAGED2,389,0.9896161090429735,0.16992493405711784
377,SLC11A2,389,0.9891132087772525,0.22273300720305933
378,LRCH4,389,0.9906390401210146,0.15531558989600924
379,TRA2B,388,0.9787632142943036,0.372806477848032
380,NDUFB6,388,0.9885818942291099,0.19085784764167535
381,FDXR,386,0.9901287766420195,0.19769699325457246
382,RHBDD2,386,0.989909047602883,0.17995001618065842
383,TMEM127,385,0.9906880832983934,0.1673222319009735
384,OBSL1,385,0.9907490920146044,0.26109574598285334
385,ZNF284,385,0.9903055362222539,0.08554220713005023
386,TRNT1,385,0.9793424047786058,1.1987476869374838
387,MAD2L2,384,0.9898519848106212,0.13409630076102452
388,SATB1,384,0.9904790355029907,0.15525651000092822
389,RAC3,384,0.9850172927075219,0.37458123016238254
390,ST6GAL1,384,0.9893450033039453,0.09416312688199469
391,PRDM13,384,0.9883771169346413,0.2264217314245851
392,SEC31A,383,0.9894865554846485,0.20813559874356002
393,LYRM2,383,0.9898577487522144,0.11161801155659923
394,PLEKHH3,383,0.9893828144942399,0.265605340117407
395,FBXL8,382,0.9888726293334242,0.27032770429999786
396,TRIM35,381,0.9898868539289277,0.10317094435361263
397,PKP3,381,0.9904837610603271,0.15714832277817692
398,RHOT2,381,0.9889991616291621,0.1790676650792733
399,GTF2H2,381,0.9889906052856031,0.13127387770230925
400,WIPI1,381,0.9894247365624891,0.2702749194245353
401,FGFR1OP2,381,0.9896912679906289,0.11017567246837423
402,SMURF2,381,0.9903416002634037,0.1335143767133129
403,HIKESHI,380,0.9871676886234941,0.15086714362049314
404,HMOX2,380,0.9904245104546109,0.20674057723832817
405,FOXO3,380,0.9884792120088959,0.10588568798095821
406,LIME1,380,0.9895377682090232,0.14855125368482014
407,PRC1,380,0.990188071356203,0.11240135715275024
408,TMEM160,380,0.9902307081142422,0.15860193226094488
409,SKP2,380,0.9877256807423049,0.3289284503669485
410,ING1,380,0.9896553500525804,0.21517717455672702
411,GEMIN7,379,0.9905011294474365,0.12497570613613007
412,DNMT3B,379,0.9895882240545728,0.1790328798106149
413,DYNLRB1,379,0.9894708510010859,0.17742189438331302
414,LRRC8A,379,0.9907991900559505,0.18007890367056412
415,FAM219B,379,0.9902621469087789,0.12707038135462945
416,EMC7,379,0.9881598139669615,0.28170674329578915
417,DPF1,379,0.9896780898419223,0.15061783146204277
418,FAF2,378,0.9892992817695567,0.14340809280945876
419,MTDH,378,0.9895383841889704,0.16589803516331614
420,FAH,378,0.9901528844299136,0.1007608420737558
421,IRX2,378,0.9893167675958242,0.1352672864787401
422,PHACTR1,378,0.9909210031600618,0.1361172757657183
423,TNRC6A,378,0.9840723211068163,0.3218213306329698
424,TUBGCP6,377,0.9903337685993215,0.15455470848427133
425,VPS37C,377,0.9896168415401996,0.13167351820636775
426,MICB,377,0.989208745417734,0.1576751970068564
427,EPN2,377,0.9896277383425559,0.22941602100444314
428,VHL,377,0.9898032816496192,0.12735094867246133
429,TRAPPC3,376,0.9879661758668353,0.1672005214401615
430,RPS29,376,0.9889568252014288,0.42563446492165014
431,YWHAZ,376,0.9901014392306837,0.16191186274261504
432,SLC35G6,375,0.9898891484944362,0.19312981563411746
433,ZNF736,375,0.9905285894102651,0.13423646897012098
434,VAT1,375,0.9901315260134553,0.22279428880055363
435,TARDBP,375,0.9828387160423342,0.4811817148563158
